Key,Section,Weight,Area,depth,bflange,tweb,tflange,kdes,bf_2tf,h_tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,JModulus,Cw,Qf,Qw,rts,ho
1,W4X13,13.00,3.83,4.16,4.06,0.28,0.35,0.60,5.88,10.60,11.30,6.28,5.46,1.72,3.86,2.92,1.90,1.00,0.15,14.00,1.24,3.09,1.16,3.82
2,W5X16,16.00,4.71,5.01,5.00,0.24,0.36,0.66,6.94,15.40,21.40,9.63,8.55,2.13,7.51,4.58,3.00,1.26,0.19,40.60,1.99,4.74,1.43,4.65
3,W5X19,19.00,5.56,5.15,5.03,0.27,0.43,0.73,5.85,13.70,26.30,11.60,10.20,2.17,9.13,5.53,3.63,1.28,0.32,50.90,2.42,5.73,1.45,4.72
4,W6X8.5,8.50,2.52,5.83,3.94,0.17,0.20,0.45,10.10,29.10,14.90,5.73,5.10,2.43,1.99,1.56,1.01,0.89,0.03,15.80,1.03,2.78,1.05,5.64
5,W6X9,9.00,2.68,5.90,3.94,0.17,0.22,0.47,9.16,29.20,16.40,6.23,5.56,2.47,2.20,1.72,1.11,0.91,0.04,17.70,1.15,3.04,1.06,5.69
6,W6X12,12.00,3.55,6.03,4.00,0.23,0.28,0.53,7.14,21.60,22.10,8.30,7.31,2.49,2.99,2.32,1.50,0.92,0.09,24.70,1.52,4.08,1.08,5.75
7,W6X16,16.00,4.74,6.28,4.03,0.26,0.41,0.66,4.98,19.10,32.10,11.70,10.20,2.60,4.43,3.39,2.20,0.97,0.22,38.20,2.24,5.77,1.13,5.88
8,W6X15,15.00,4.43,5.99,5.99,0.23,0.26,0.51,11.50,21.60,29.10,10.80,9.72,2.56,9.32,4.75,3.11,1.45,0.10,76.50,2.15,5.32,1.66,5.73
9,W6X20,20.00,5.87,6.20,6.02,0.26,0.37,0.62,8.25,19.10,41.40,15.00,13.40,2.66,13.30,6.72,4.41,1.50,0.24,113.00,3.07,7.38,1.70,5.84
10,W6X25,25.00,7.34,6.38,6.08,0.32,0.46,0.71,6.68,15.50,53.40,18.90,16.70,2.70,17.10,8.56,5.61,1.52,0.46,150.00,3.88,9.39,1.74,5.93
11,W8X10,10.00,2.96,7.89,3.94,0.17,0.21,0.51,9.61,40.50,30.80,8.87,7.81,3.22,2.09,1.66,1.06,0.84,0.04,30.90,1.48,4.29,1.01,7.69
12,W8X13,13.00,3.84,7.99,4.00,0.23,0.26,0.56,7.84,29.90,39.60,11.40,9.91,3.21,2.73,2.15,1.37,0.84,0.09,40.80,1.86,5.55,1.03,7.74
13,W8X15,15.00,4.44,8.11,4.02,0.25,0.32,0.62,6.37,28.10,48.00,13.60,11.80,3.29,3.41,2.67,1.70,0.88,0.14,51.80,2.31,6.64,1.06,7.80
14,W8X18,18.00,5.26,8.14,5.25,0.23,0.33,0.63,7.95,29.90,61.90,17.00,15.20,3.43,7.97,4.66,3.04,1.23,0.17,122.00,3.23,8.37,1.43,7.81
15,W8X21,21.00,6.16,8.28,5.27,0.25,0.40,0.70,6.59,27.50,75.30,20.40,18.20,3.49,9.77,5.69,3.71,1.26,0.28,152.00,3.96,10.10,1.46,7.88
16,W8X24,24.00,7.08,7.93,6.50,0.25,0.40,0.79,8.12,25.90,82.70,23.10,20.90,3.42,18.30,8.57,5.63,1.61,0.35,259.00,4.71,11.30,1.81,7.53
17,W8X28,28.00,8.25,8.06,6.54,0.29,0.47,0.86,7.03,22.30,98.00,27.20,24.30,3.45,21.70,10.10,6.63,1.62,0.54,312.00,5.52,13.40,1.84,7.60
18,W8X31,31.00,9.13,8.00,8.00,0.29,0.44,0.83,9.19,22.30,110.00,30.40,27.50,3.47,37.10,14.10,9.27,2.02,0.54,530.00,6.35,15.00,2.26,7.57
19,W8X35,35.00,10.30,8.12,8.02,0.31,0.50,0.89,8.10,20.50,127.00,34.70,31.20,3.51,42.60,16.10,10.60,2.03,0.77,619.00,7.28,17.10,2.28,7.63
20,W8X40,40.00,11.70,8.25,8.07,0.36,0.56,0.95,7.21,17.60,146.00,39.80,35.50,3.53,49.10,18.50,12.20,2.04,1.12,726.00,8.30,19.70,2.31,7.69
21,W8X48,48.00,14.10,8.50,8.11,0.40,0.69,1.08,5.92,15.90,184.00,49.00,43.20,3.61,60.90,22.90,15.00,2.08,1.96,931.00,10.30,24.20,2.35,7.82
22,W8X58,58.00,17.10,8.75,8.22,0.51,0.81,1.20,5.07,12.40,228.00,59.80,52.00,3.65,75.10,27.90,18.30,2.10,3.33,1180.00,12.40,29.70,2.39,7.94
23,W8X67,67.00,19.70,9.00,8.28,0.57,0.94,1.33,4.43,11.10,272.00,70.10,60.40,3.72,88.60,32.70,21.40,2.12,5.05,1440.00,14.50,34.80,2.43,8.07
24,W10X12,12.00,3.54,9.87,3.96,0.19,0.21,0.51,9.43,46.60,53.80,12.60,10.90,3.90,2.18,1.74,1.10,0.79,0.05,50.90,1.91,6.14,0.98,9.66
25,W10X15,15.00,4.41,9.99,4.00,0.23,0.27,0.57,7.41,38.50,68.90,16.00,13.80,3.95,2.89,2.30,1.45,0.81,0.10,68.30,2.48,7.83,1.01,9.72
26,W10X17,17.00,4.99,10.10,4.01,0.24,0.33,0.63,6.08,36.90,81.90,18.70,16.20,4.05,3.56,2.80,1.78,0.85,0.16,85.10,3.04,9.14,1.04,9.77
27,W10X19,19.00,5.62,10.20,4.02,0.25,0.40,0.70,5.09,35.40,96.30,21.60,18.80,4.14,4.29,3.35,2.14,0.87,0.23,104.00,3.65,10.60,1.06,9.81
28,W10X22,22.00,6.49,10.20,5.75,0.24,0.36,0.66,7.99,36.90,118.00,26.00,23.20,4.27,11.40,6.10,3.97,1.33,0.24,275.00,4.88,12.90,1.55,9.84
29,W10X26,26.00,7.61,10.30,5.77,0.26,0.44,0.74,6.56,34.00,144.00,31.30,27.90,4.35,14.10,7.50,4.89,1.36,0.40,345.00,5.98,15.40,1.58,9.86
30,W10X30,30.00,8.84,10.50,5.81,0.30,0.51,0.81,5.70,29.50,170.00,36.60,32.40,4.38,16.70,8.84,5.75,1.37,0.62,414.00,7.02,18.20,1.60,9.99
31,W10X33,33.00,9.71,9.73,7.96,0.29,0.44,0.94,9.15,27.10,171.00,38.80,35.00,4.19,36.60,14.00,9.20,1.94,0.58,791.00,7.75,18.90,2.20,9.30
32,W10X39,39.00,11.50,9.92,7.99,0.32,0.53,1.03,7.53,25.00,209.00,46.80,42.10,4.27,45.00,17.20,11.30,1.98,0.98,992.00,9.55,23.00,2.24,9.39
33,W10X45,45.00,13.30,10.10,8.02,0.35,0.62,1.12,6.47,22.50,248.00,54.90,49.10,4.32,53.40,20.30,13.30,2.01,1.51,1200.00,11.30,27.00,2.27,9.48
34,W10X49,49.00,14.40,10.00,10.00,0.34,0.56,1.06,8.93,23.10,272.00,60.40,54.60,4.35,93.40,28.30,18.70,2.54,1.39,2070.00,12.80,29.80,2.84,9.44
35,W10X54,54.00,15.80,10.10,10.00,0.37,0.62,1.12,8.15,21.20,303.00,66.60,60.00,4.37,103.00,31.30,20.60,2.56,1.82,2320.00,14.00,32.80,2.85,9.49
